comment,like,bad
"この一件以降、飲食業界は様々な対策をとる必要が生まれました。それこそＡＩカメラであったり、提供システムの変更であったりそれらに要した費用は誰が出しているのでしょう。加害者擁護のリベラルの間抜けどもは自分が負担していない以上、まったくお構いなし。企業が負担し、従業員の給与・賞与に影響が出ているかもしれない。提供価格に反映せざるを得ないかもしれない間抜けはそんなことも想像できない更生を期待するなら、擁護して甘やかすより自分の犯した愚行をいやというほどわからせる方が先。一生後悔するほどの反省があるから更生が期待できる。それがなければ黒歴史あるいは武勇伝として語られる程度になってしまう",609,22
"10億円くらいの一生掛けても払えないくらい途方もない金額を提示されるより、数千万円程度の現実的な金額出された方が、ダメージ大きいな。最低でも設備投資（小物の交換やアクリル板の設置費用）等の負担は必要だろうな。それが数百店舗あるからそれなりの金額は認められるだろうな。一生かけて償うレベルだね。頑張って。",369,14
"テレビは観ていませんが…元野球選手のタレントといえば直ぐに思い浮かびます。下働きをさせれば良い…このコメントには正直怒りが湧きます！特に飲食店での下働き（この表現も良いとは思ってませんが）の重要性も理解してないスカスカの意見です！どれ程、重労働で大変な責任を伴う仕事というのが分かってない人間の言う事ですね！この方の仰る通り海外では恐らく数億円、数十億円での訴訟となるでしょう！私は個人的にはそれだけの事をやってしまった…一生償うべきだと考えます！そして本当に更生出来てると被害側が考えた時に相応の措置を取れば良いのでは！？",629,15
"6700万円はかなり妥協した額だと思います。これで応じずに判決が出ても控訴するようなら、反省の意志無しと見て妥協額ではなく損害額を丸々請求すれば良いと思います。加害者も多額の賠償と思っているのかもしれませんが、妥協してくれているうちに手を打たないと傷口はどんどん広がる事になるでしょう。",463,13
"「なぜ加害者ばかり擁護」となるのも個人の価値観は人それぞれ違うのは承知の事実なのは殆どの人達は理解してると思います。よって今回の事件でも迷惑行為をした悪人に対して個人の価値観が反映されて擁護、批判、どちらでもない人達に大まかに必然的に別れます。今の世の中の価値観では当然悪人に対しては擁護する人達は少数派です。これは善人に対しても必然的に同じで批判する人達は少数派に変わるだです。私の価値観は賠償金は少なすぎるくらいだと思ってますけど。必ず少年でイタズラだし反省もしていて可哀想だから減額しろと思う人達もいることは個人として理解はしますが賛同はしません。",318,15
"私は戦後生まれだが、若い時はほとんどの人々は貧乏だった。好きなものも買ってもらえず、一日わずかな小遣いで満足していた。就職するころは高度成長の入り口で若者には夢があった。働いて買いたいものもたくさんあった。何よりもお金の大切さを理解していた。今の若者は欲しいものは親が与えてくれる。ゲームなどで幼いころから遊べた。そう考えると、日本人が富を得た一方何かをおろそかにしてきたのではないのかと、最近は思うようになった。",433,84
"そもそもこんな社会問題を長嶋の息子に扱わせるほうが間違ってる。社会問題とエンタメを同列に扱ってる。公の電波で何か自分の意見をコメントとして発すると、必ず影響を及ぼす。その責任の重さに理解が及んでるのか？",828,18
"食器の洗浄は洗浄機にかける。並べてレバー下げるだけ。しかも家庭の食洗機よりかなり早いのだ。何の罰にもなりませんよ。やるならお店には関わらなくていいから公園の草抜きとか公衆トイレの掃除とかボランティアやってもらえば。やったことに対して賠償額がかわいそうとは思うけど、模倣犯を防ぐためにも親子ともどもきついお灸をすえる意味でも効果はあります。その後も似たような動画配信ありましたよね。悪いけど店にも防犯カメラ設置して、もし悪事が発覚したらそれを保存して、すぐに警察に相談するとかの対応が必要なんだね。特に団体さんには警戒しちゃうわ。人数多ければ多いほど食べ散らかしとかマナーが悪いもん。",575,168
"株価については、確かに騒動直後に急落したが、翌日には急回復し、今時分では更に大きく高値で推移している。更に言えば、スシローが下落時に株を売却し、損失を計上した訳でなく、保有したままの状況だから、日々、時価で動いている株価の推移の一環に過ぎず、流石に責任転嫁が過ぎるのではないか？個人相手への、しかも未成年に対して、損害賠償の請求額6700万円は十分にインパクトがあるし、スシロー側は容赦ないと感じられるが。抑止力を働かせるという観点からも、スシローの毅然とした対応は支持に値する。",240,25
"スシローの提示額はこの記事のようにかなり加害者に配慮した金額ですね。実際スシローが受けたダメージに比べ請求額は一桁二桁も違うと思います。今後このような犯罪や愉快犯を防ぐ意味でも最請求すべきであったように思います。ただ実際支払えるかというとそうでは無いです。でも犯罪抑止力にはなるのではと思います。",84,2
"更生を大事に思うことと賠償は別問題だと思います。更生は刑事罰としてどう考慮するかであるし、賠償は実際の損害をどう補償するかの民事の話です。犯人と親は、そんなには払えないけど可能な金額は将来少しずつ払いますという姿勢を見せるべきだし、更生を考慮してもいいという影響になり得る。示談の有無が刑罰に影響するあれです。",32,2
"昔とは手口が陰湿になってると感じるのは私だけでしょうか？厳しく育てられた子供が親になり、あんな思いはさせたくないからと甘くなる。気持ちは分からんでもないが、躾と甘やかしは別。何がダメで何が良いのか分かるまで教えるのが親の役目。育つ環境で大きく子供の将来を左右する事を分かっていない人が親になるんだから仕方ないが、厳しく育てられた人の方が根性あるし、良し悪しの判断が出来る人が多いかな。子供の未来があるからと同情する気持ちは全く分からない。加害者を守る風潮はよろしくない。法律で守るのは良いが、個人の感情としては間違えている。平和ボケもここまでくると痛い。",151,8
"いくら少年と言えども、自分のしている事の正否の判断力は、十分にある筈だ。それをおしてやったとなると、どんなに弁解をしようとも自己責任は免れない。被害者が大店舗チェーン店であれば、膨大な被害及び被害額になる。それを損害として、損害賠償を求めるのは当然の権利であると思う。それを不当として、加害者の擁護するのには、疑問を抱かざるを得ない。6,700万円と言う損害賠償請求は、安く設定されていると誰がみても分かる事だと思う。被害を受けた方にとっては、以後の店のイメージや運営を考慮した請求額だと思う。",13,2
"スシローやかつやによく行くのだけれども、近年わさびやカラシの小袋化が進んだ。めちゃくちゃ面倒臭い。だけじゃなく環境にも優しくないし、小袋に少し残るフードロスも深刻な問題ではないかと思う。ちょこっとふざけただけなんかもしれない行為が社会に対して、ひいては地球環境に対して、どれだけの影響があったのか、よーく考えて罰していくべきだと思う。個人的には一兆円くらい払わせたいけど、生涯通して払える額で考えれば一億円くらいは払わせてもいいと思う。",112,7
"この賠償請求はかなり安いと思います。スシローをはじめ食の安全の気をついそれなりの投資をしてきたお店は多いと思います。それを一瞬のうちに瓦解させた罪、それもいたづら心で。どんな言い分も通らないと思います。まずは、速やかに賠償責任を果たすべきで、加害少年の更生もやはり親が負うべきものでしょう。外野は四の五の言わずに、見守るのが一番だと思う。",29,2
"日本という国からすれば、高い損害賠償請求だろう。とはいえ、過去の判例で照らす裁判で、どれだけの金額が認められるかは分からない。現実のところ、それほど高い金額になるとは思えない。また、高い金額が認められたからと言って、被告側は自己破産するだろうから、原告側企業がその金を受け取れるとは思っていないだろう。むしろ、企業側は高い金額を請求することで、社会への抑止効果を狙っているとしか思えない。",21,2
"億超えなかったのが、不思議なくらいだと思った。株式市場に及ぼした影響を含めれば、事件発覚当時の下落から現在戻した株価は知らないが、当時の株主や信用買い（人によっては損切・ロスカットの下落？）してた人らからすれば、たまったものではなかっただろうね。コロナで公衆衛生が騒がれてたのも何も役に立っていないし、店の努力を踏みにじる行為でもある。こういう人間に皿洗いとかしてほしくはないし、食材もまともに搬入して保管するかも疑わしく思う。未成年だから大丈夫とかいう考えや、未成年の将来がとかいうけど、甘えを残すから軽微なものでも後を絶たない。被害者に対して加害者が平等という立場が与えられるのも如何かとは思うし、やったもの勝ちみたいに感じて違和感がある。被害者が妥協するとか犯罪助長にくらいしかならないよ。分からないから刑が下る。分かってるなら刑を受けることもない。それだけの事じゃないかな。",55,4
"日本の現状は、若い人たちの犯罪が増えていると思います。法律の抑止力が弱すぎるのと教育の崩壊が原因と感じる。加害者の擁護など必要なく罰を適切に与えその後に更生する道を与えるぐらいであれば理解できる。若者を教育する先生の立場を強化することと新たな良い人間を育てる教育方法が必要と思います。法律や政治を現代にマッチするよう改革が必要と思う",26,6
"これが自営業のお店だったら、潰れてるだろうし最悪一家離散にもなる話やった奴が悪いのに何故責任を軽くしようとする？被害者がそれは決める事だし、実被害から見ても桁外れの請求はしていない。やって良い事と悪い事が有るそこはしっかり責任を取らせるべき",327,9
"実際は、こう言う業界は皿洗いは人の手よりも「自動食洗器」がやっています。この少年の出来る仕事は、ほぼありません。そして、もう一つ現実的な話が、一応、企業としても少年側に6700万円プラス諸費用が支払えるとは思ってはいないでしょう。懲罰的に、司法で裁き、この語、模倣犯などが出ないなどの予防的措置かもしれません。もしかすると、示談金か何かで解決は出来たかもしれません・しかし、今回は、最大の要因に「株主」の存在があるのではと思います。160億円ものの莫大な株の損失を出してしまった今回の事件は、株主が黙っている訳がないと思います。少年の犯罪とか謝罪とかは別として、企業側の株主への責任も問われていると思われます。もはや、後には引けないほど、事件は大きくなってしまったと言う事です。",17,2
"飲食店では搬入の仕方（原材料の鮮度を保つ為素早く、また破損しないよう丁寧に、尚且つピーク時にどこに何があるのかパッとわかるよう取りやすく…）など本当にプロの仕事です。それが生鮮を扱う寿司屋なら尚更でしょう。そして皿洗いも重労働です。衛生検査では洗浄後のトレーなどの残留菌を調べる程、大切な仕事です。そんな生半可な仕事ではないのです。",48,1
"スシロー自身も結構あくどい商売をやっているので、全く好きではないが、今回の事件は他の回転寿司チェーンや飲食店にもかなりの負の影響を与えているのは間違いないので、賠償には応じるべき。いくら未成年とはいえ、そもそも今回の行為に至る発想が異常であって、他の同じようなことをやっている連中に対しても抑止力とすべき事件。現場で働かせて償えばという甘ったれた声もあるが、それを引き受ける現場は無駄な仕事が増えるだけでたまったもんじゃない。仕事はボランティアじゃない。しっかりと賠償金を償わせるべき。",9,1
"スシローと少年の間で訴訟が起こされるのは当然で、そこに未成年かどうかは考慮不要だと思います。ですがあくまでスシローと少年の問題であり、周りが騒ぎすぎだと思います。スシローは高級レストランではありません。こんなことはいくらでもありえるし、本当に衛生的な店を求めるなら高い店に行くべきです。安いお店にも高いレベルの衛生を求めるのが日本の良さでもありますが、お店や安い時給の従業員の負担にもなっています。",11,47
"この事件の後模倣犯が色々出ている。目には目を歯には歯を、最近の日本社会は甘すぎるので、こういう輩が出てくると思う。北朝鮮とまではいかないにしても、厳しさを社会全体で認識すべきだと思う。こういうことをやればどんな事が待っているのか、社会全体に広めていく必要があると思う。",12,5
"飲食業を経験した身としては、今回のような対応は適切だと思うし、むしろ今まで出来なかったというのはあります。禁煙の店で隠れて吸ってる大人もいたし、1人で来てオンラインでぎゃーぎゃーやってる人とか、卓上調味料を出すだけ出して使わないような人も居ました。程度はそれぞれですし、注意してその場ではやめさせても、結局そういう人は他でもやるんですよね。今回はネットで情報が拡散されて会社対少年と世間的にも注目されていますが、出来れば裁判の結果まで公表してほしい。軽い気持ちでやった事がどれ程の罪なのか、社会的に知る機会になってほしい。",5,1
"この時期（問題事象発覚後）の株価が１６０億円の下落と報道されていました。因果関係の問題を相手側から提起されていましたが、その時期に株価が下がったのは事実ですし、それを踏まえても、１６０億円の損失には触れず、６７００万円の損失補償の要求ですから、企業としては相手側にずいぶん配慮した結果だと思います。海外の訴訟大国では、株価１６０億円の損失に加えて、慰謝料等も併せて、数百億円の請求をされることになります。まして、『未成年者だから今後の更生を』と叫んでいるマスコミや関係者もいますが、未成年者であろうと起こした事象は事象として罰を受けるべきですし、加害者の擁護をしている関係者の考え方は理解できません。この加害者は、『幼児』でも無ければ『小学校低学年』でも無く、物事の善悪は理解できている年齢ですし、その事が判っていたからこそ、バズルことだけを目的に行動をしたのです。",46,4
"日本は以前から加害者に優しく、被害者に厳しい国に感じます。特に加害者が少年の場合は顕著ではなかろうか。この事件だけでなく、ストーカーや暴力、殺人事件でさえも、加害者の更生を促す名の下に、被害者に変な圧力を加える人やメディアの動きがあります。更生への手助けは、早くても反省の下、相手への補償を始めた段階で良いと思います。被害者は民事訴訟を起こす権利があります。それすら理解していない人、特にメディアでコメンテーターをしている人がいることが問題です。",11,2
"私は、いわゆるリベラルな人たちの意見で、少年は保護され守られて、更生する可能性を考えろという意見には反対です。少年法の存在が少年の更生を邪魔してるとさえ思います。15歳にもなれば大抵のことの善悪は判断できます。悪いことをすれば罰せられるという認識は持てます。少年法という悪法が、罰をなくしたり、軽くするため、少年に悪いことをしても大したことはないという意識ができるように思います。少しそれますが、日本の刑法は、全体に甘すぎると思います。被害者の受けた影響に対して、量刑が甘すぎる。例えば、覚せい剤などの犯罪は、たくさんの人の人生を狂わせて、命さえ奪ってしまします。それに対して、死刑はおろか、終身刑さえ課されません。覚せい剤犯罪で起訴されたら終身刑が課せられるとなれば、大多数の人は、関わらないのではないですか。覚せい剤などなんの利益ももたらさないのだから、このくらい厳罰で良いと思います。",17,4
"元プロ野球選手のＮさんが言ったのはそういう飲食店の現場を知れってことです誰も罰ゲームだとは言ってない全てのその立場に立てとは言わないでもそれに携わっている人が大人数いるってくらい想像出来る未成年だからとか関係ないってか高校生ですよね幼稚園児のいたずら感覚を持ちながらずっと生きてきたのでしょうかねそれを放っておいた周りにも影響は大きいいかついておらついて何をやるにも大声を張る中身がない人ほど威勢だけはいいと言われる",20,1
"米国のような懲罰的損害賠償という概念がない日本。損害賠償請求額の算定は、因果関係に基づいて行われる。まず、直接的因果関係が認められるのは、被害店舗の消毒作業、休業補償、信用低下に対する損害賠償。消毒作業は実費、休業補償や信用低下については過去の売上実績に照らして相当額が認定されるであろう。一方、株式時価総額や他店舗売上への影響は、すべてが直接的因果関係が成立するものとはいえない。しかしながら、その一部はスシペロが影響したものと認定され、損賠賠償額に反映されるだろう。",6,1
"皿洗いをさせたらと言った方は多分被害者に更生をさせろと言いたいわけではないと思います。6700万円は今回の賠償額にしては安いと思います、おそらく被害者もだた被害の損失のためだけに訴訟を起こしたわけでなく、この金額だと焼け石に水ぐらいだと思うので。それより今後こういうことが起こらないためにという願を込めての訴訟だと思います。だから今後のために色々大変さを知ってもらうために皿洗いをしてもらえばって言っただけだと思います。そういうことしそうな人みんなに飲食店の大変さを知ってもらうのがいいんだけど、それは無理なので。ただ皿洗いをしたからといって飲食店の大変さはわからいですが。この人も飲食店の人ではないので皿洗しか思いつかなかっただけだと思います。",12,41
"少年犯罪と対峙する仕事に携わっていますが、彼等の中で心底反省している者はごく僅かです。戦後の犯罪を犯さなければ生きていく事が難しい時代だったからこそ更生や健全育成が目的だったのでしょう。少年達が反省しない理由の最大の原因は少年法です。今回の件は誰かにやらされた訳でもなく、自分の意思でやった事を考えれば全く同情する余地はない。まして弁護する必要だってないのでは？抜本的な少年法の改正か廃止を望みます。",16,3
"6700万と数字はこの少年が精一杯一生働いて返せうる、スシローが考えぬいた金額だと思う。実被害から計算した数字はもっと大きいと思う。一生かかるであろう罰金を若者に強いるのは酷だという人もいるかもしれないが、理不尽な被害を被っているのはスシローの方であり、彼らは従業員の人生を守らねばならない。加害少年は、自分で犯した罪を、一生をもって、償って欲しいということなのではないか。",6,3
"今回の件に限らずですが、日本は加害者の保護が過分すぎます。プライバシー保護だの更生だの。被害者側の金銭的なものだけではない図りきれない損害賠償を優先すべきです。そうすれば長い目でみれば犯罪抑止力に繋がるでしょう。",11,3
"日本は弁護士自体が横のつながりで成り立っている業界の為か、一種の懲罰的損害賠償請求をしようとすると弁護士自体がたしなめ、やめさせようとする。もう日本は性善説の通用する社会ではなくなってきている可能性が高いので、懲罰的損害賠償請求をして、不法行為には断固とした処置をしますよというメッセージを出さないといけないのかもしれない。",88,4
"私も安いと思いました。このニュースで回転寿司を避けるようになった人はいただろうし、据え置きだった調味料や食器をお客さんが席についてからの設置にしたりと手がかかるようにせざるを得なかったのはたしかですよね。影響の大きさを考えたらもっと高額だと思っていました。この金額でもかなりの温情だと思いますけどねー",4,2
"自分も加害者に甘い国と考えているので今回のスシローさんの賠償については賛成の立場です。少年の更生をと言いますが、現場で働く人達の苦労を増やし、その職を失う事になりかねない事件なので、損害賠償は当然でしょう。今後このような事件の抑止力になればと思います。",52,4
"この件についての加害者擁護論には確かに違和感しか感じない。記事を書いた記者さんにほぼ同感。最近の日本をおかしくしている原因はそこにあるって気もします。こういうことへの対応は、やらかした子供とその親にとことんその責任を感じてもらう一手で構わないと思います。またSNSとかでの「自分のウマシ自慢」みたいのを披露することが、いかに愚かでみっともない＆本人の為にも社会のためにもならないそしてエンタメにすらもなってない…ということを、家庭や学校はもちろんメディアとかでもよくよく教育とか啓蒙とかしてもらいたいな。",24,1
"加害者を未成年だからと考慮できるのはせいぜい中学入学前くらいまでではないでしょうか？健常児であれば高学年になれば善悪の判断もつきます。知的や発達障害があっても親や学校などできちんと教えれば小学校卒業するまでにはしてはいけないことを理解します（特にASDはルールを守ることに拘りを持つ人が多いです）。逆に知恵が働くタイプは悪いことを試すなら未成年のうちにと考える者もいます。スシローのこの件の加害者は10代後半ですし、大人に近いような処分が考慮されたのは然るべきことかと思います。多様性重視の世の中ですし、いじめなども加害者を守る風潮はなくすべきかと。",9,2
"加害者、被害者、司法の関係を明確に切り分けて話すべきで、感情論で「一時の悪ふざけに」なんてのを挟むものじゃないな被害者のスシローは本来なら対策にかかった全店舗の費用全てと機会損失で失った利益は請求したいところだろうただ、こういう自体まで企業側が対処すべきという一部の声にも配慮した形でこの程度の金額じゃないのか、と思っているこれに対して「一個人に対しては重すぎる」的なことを言う人がいるけど、請求が言い値そのまま確定しないのが司法だろうまだ司法判断が出てない内で声を上げること自体違うなんで、最後に被害者だけど、ペロペロやったヤツだけに払わせる前提で記事も書かれてるけど、動画を撮ってたその場に居合わせた仲間全てに等分の責任があると思う飲酒運転だって酒を提供した店と同乗者にも罪を問うようにしたのだから、これも同様であるべきだろう専門家などから聞かれないのが分からない",4,1
"６７００万について高額過ぎると言う意見が有るようですが、これ以上模擬犯を出さない事や、被害者の本気度を見せる意味では、妥当な金額かと思います。現に被害者側は、今も対策を実行中で有り、それに伴う金額を上乗せするとも言っています。おまけに被害者は、経営者だけでは無く、そこで働く従業員(店長・幹部を含む)や、株主ある意味被害者かと思います。従業員の中には、事件のせいで辞めた人も居るかもしれない(逆に言えば、事件が無かったら、今もそこで働いて居た可能性)。でも実際には、被害者が求めた金額を、満額で認められる事は稀なのも事実。だから今後の焦点は、司法が何処まで被害者(店側)に寄り添えるかだと思う。加害者がやらかした事の重大性(株価暴落・事件のせいで客足が遠退いた等)や、反省度の高さ(本人は謝罪している様だが、弁護士が争う姿勢)を鑑み、満額+追加分を認めるのか、社会的制裁を考え減額するのか。",7,1
"いやこれ株価や衛生管理の件は経営側の体制の責任なのだからそこまで少年が責任を負う必要はないよ。株価の低下は、投資家が「こんなに簡単に不衛生事案が発生する企業には投資できない」と判断した結果であって、少年の責任とはまったく別の話だよね。また拡散した人、拒絶反応を示して炎上に参加した人の責任も大きい。企業が訴訟という話でもなく、当該店舗と本人及び保護者の当事者間の和解で十分な案件でしょ。また、この請求を是とすることは、未熟な者が軽い気持ちで行ったやらかしに過大な断罪意識を発動する、というものだからますます少子化を加速させる。",4,18
"金額が低いのは敢えて狙っての金額だと思う。あまりにも高額過ぎると最初から諦めが来てしまって1円も回収出来なくなる上、周りへの抑止力を考えた場合でも同様に異世界の様に感じて現実味を帯びない。6700万円と言う賠償請求で落としどころは2～3000万円くらいか？或いはもっと低いかもしれないが、一般家庭一世帯に対する罰としては逆に逃げようがない金額に思えてダメージはより重い気がする。",4,1
"食中毒が起きていた可能性もある行為だった事を忘れているんじゃないのか?そうなっていたら原因不明の食中毒で衛生面の責任を取らされマスコミに叩かれ閉店にもなりかねなかったのは店舗側だ。加害者側は賠償請求で破産するかもしれないが同情や擁護をする前に被害者側にどれだけのリスクだったのかを考えるべきだ。",3,3
"アメリカなら請求額通りの賠償を命じるだろうが、日本の裁判所は賠償可能な金額にとどめるだろう。3000万円程度が妥当かな、未成年でも自己破産は可能だが、本人の悪意での賠償なのでチャラにすることはできない。賠償するのは本人だけが賠償するとは決まっていないから、親や親戚が肩代わりすれば何とかなるはず。",19,2
"株価で160億円の下落を考えるのなら、社会的影響を考えても16億ぐらいが妥当だと思うのだけど・・・　6700万円はかなりお安いかと自分の行為が大勢に迷惑をかけていることを身を以てまた、今後模倣犯が出ない様にするためにも社会的制裁はあるべきかと考えます。",10,3
"私はこの賠償請求額の設定に愛情を感じました。実際のスシロー側の被害額をまともに請求するなら数億はくだらないと思うが、加害者家族の支払い可能性、社会への発信効果としては絶妙な金額設定だと思う。本当はもっと請求したいはず。よく配慮されているし、社長のコメントに対しても裏表のない良い企業だと受け止めた。",7,2
"前提として考慮すべきはスシローの起こした裁判は「民事」訴訟である点である。「少年の更生」や「将来性」などは刑事訴訟で議論すべきことで民事では加害者と被害者、損害額、責任賠償額を民法に従い粛々と判断すればよいと思う。",23,2
"スシローの賠償請求は、おそらく加害者の少年に対してというより、世間に「こういった迷惑行為をされたら我々はこのレベルの賠償請求をする」という姿勢を示す目的が大きいのでは？それが、全然甘くないけど、見境なく厳しいわけでもない金額なのだろうと。一般家庭で6,700万円を捻出するのは絶望的だし、少年個人（賠償責任は基本的には少年本人のみ）で考えたら無理でしょう。無理であればほとんど払えずに終わる可能性もある。逆に裁判で金額が変わり、現実的な数十万円～200万円くらいに落ち着いた場合、親や近しい人が肩代わりして支払って、それで責任は果たしたと世間は認識するだろうか？直接的に気分を害した現場店舗の従業員や利用客には、賠償金が後から分配されるわけでもない。懲らしめてやって溜飲を下げたい願望はあるかもしれないが、高額賠償金がその手段としてベストとは思えないし、スシロー側も目的は別だろう。",1,1
"確かに更生が最重要なのは間違いない。賠償金が高すぎても実際払えなくスシロー店舗、本社、幹部などに将来報復してくる可能性があるから。だから頑張れば払えそうな限界の金額にしているのでは。支払いが続く事で縁が切れなくなりある程度の生存確認などを把握することができる。しかし何でスシロー側がこんなに気を使わなければならないのか不憫でならない。",20,2
"未成年であろうが更正の前にやったことの代償を支払わせることが1歩目だと思う。それがなきゃ未成年を笠に着てやりたい放題になる。未熟じゃないんよ、未成年は処罰が圧倒的に軽いと分かってて、未成年という笠が最強のアイテムと分かってるから大人じゃやらないことできるんよ。大人は未成年のそこ分かってない。だから個人的には未成年であっても厳罰与えられるように全てにおいて大人と同じ扱いでいいと思ってる。罪償ってからどう更正さるか未来の話を考えればいいだけ。",42,1
