comment,like,bad
"The only way to continue the function of the ""club activities"" currently being performed by high school and junior high school teachers is to transition to the local area. There are some cases where there are no leaders in the region and the transition is not possible, in which case, unfortunately, we have no choice but to consider liquidating (in short, abolishing) the club. It is true that there may be disparities between regions, but that is something for the national and prefectural governments to think about, and I hope that each school will quietly go through the process of transferring club activities to the region, and if that is not possible, consider liquidation. If this is not possible, then I would like to see the schools consider organizing them. If I am wrong, we should not go against the times by having the current staff take over club activities.",90,4
"I have a child in a rural middle school with only one class per grade. I am in favor of having a club team, but many club teams play at night and it is difficult to combine with cram school. It is also difficult to take them to and from school each time. It puts a lot of strain on the parents, and I realize how blessed I was in my days when I could practice at school after school without thinking about it.",50,5
"In junior high school and high school, I was very much indebted to the teachers in my school club activities. I was a child at the time and did not understand how much of a burden I was placing on the teachers, but I believe that the current situation where we are overly dependent on the kindness of the teachers must be changed. It is a matter of course to move to the region, but we hope that we will be able to address any issues that come up in the future accordingly and create an environment where the children can have a good experience.",45,1
"I myself was saved both mentally and physically by club activities throughout junior high and high school. On the other hand, as I grew older, I came to understand that it was supported by the tremendous efforts of the advisors. After all, regional transition is necessary. However, if measures can only be taken at the level of the current club activity instructors, I feel that unfortunately club activities are likely to be reduced in the future. My husband is a club activities instructor at a high school. He was asked to do this by his friend, the advisor, and since it is an extension of his longtime volunteer teaching duties, he has been able to make it work, but I think it is a very rare case. With a capped compensation of several hundred thousand per year, a responsible job that requires highly specialized skills and educational awareness, a decent instructor is hard to find. Furthermore, the remuneration has been reduced this year, but how will they finance the transition to the local area? There is also the problem of finding places for daily practice and equipment (e.g., instruments for a brass band). I think the question is how serious the government is about club activities as a form of education.",38,8
"The significance of club activities should be properly understood from the perspective of education, what role they have played so far as school activities, and how they should be discussed in the future. Which role should be entrusted to the community? In terms of the burden on teachers, I think some of this can be solved by paying them an appropriate allowance. I am not sure if separating club activities from the school will be the only way to motivate teachers. I think that the loss of club activities will create new problems and burden on teachers because they will not be able to grasp the situation of children and provide guidance and training not only in the classroom.",16,18
"In addition to club activities, there are other clubs that are active in the community. Many local clubs are active once or twice a week for about two hours. Club activities are to be steered along the same lines, considering the transition to the community. School activities are also about twice a week. Competitions should be led by parents who see their own children. The goal is to completely separate the school from the school starting in the 2030 school year. Teachers who want to do this will see the activity as an outside leader in their own community. There will be no transfers, so they can do this all the time. If we do the activities twice a week, private clubs will start up and we will be able to separate the clubs for the purpose of community exchange from the clubs that attract children who want to do more.",99,21
"I think we should move to local club teams like in Europe. The reason for this is the issue of leadership. In the case of club activities, most of the teachers who are amateurs in development are single-handedly acting as coaches (or rather, people in charge), so there is almost no one who can guide them to the correct development as players while avoiding the risk of injury. There are also many faculty members who rarely show up at activities. Of course, there are some disadvantages. It is difficult to have many teams in a community, so the burden of attending can be a big one. As for the expense incurred, the question is whether it is better to ""get proper instruction because it is free, or to be left out,"" or whether it is better to get proper instruction and pay for it. Essentially, we believe the latter is preferable.",7,1
"I am an active public high school physical education teacher. I feel that I would like to see a regional transition as soon as possible. Schools are the most terminal of educational institutions. They mostly just follow the instructions that come down from above. Although they do take feedback from the field, or questionnaires, they basically just ""report"" to us. I have heard that the overwhelming majority of junior high schools would like to see the transition to the local community. However, most of the schools and institutions in the prefectures that are considering things related to club activities are probably physical education teachers who do not feel too burdened by club activities. If they are really interested in transitioning to the regional level, I think they need to discuss the issue, including working conditions, etc. I would like to see discussions involving unions, principals' associations, and other organizations that may have some influence among teachers in the field.",33,3
"Students belonging to club teams are now able to participate in this year's middle school competitions. For individual sports, it seems to be rather easy to transition to such club teams. As for team sports, the form will vary depending on the sport and the number of students, with school-based teams for school sports, and local teams for community sports. The problem is to secure instructors, and those who can teach after school and on weekends are likely to be retired senior citizens and teachers who wish to teach. The cost would be borne by the beneficiaries, but it would be realistic to ask teachers to submit a notification of dual employment to secure personnel.",6,2
"I am a middle school teacher. I retired this past March and am currently teaching on a reappointment basis. I have been an advisor for the volleyball team for a long time. With this experience, I have decided to start a volleyball club team. However, neither the students nor the parents in the community are interested at all. They do not give any support to the administration. It is very painful. I hope that they will help us move forward with the steps to transition to the community as soon as possible. Of course, we have no intention of accepting any money as an instructor. However, there will be money for gym fees, sports safety insurance, association registration fees, ball fees, etc. If the government does not back us up, the burden on parents will only increase. We are asking the government and the community. Please give some subsidies to club teams. Thank you very much.",16,18
"Teachers are finding that the significance of club activities is diminishing. Especially in sports-related club activities, good results in games give an advantage for higher education and employment. Parents have strong expectations for this. The children, however, may be genuinely striving toward their dreams. Why not leave such club activities to club teams? Even club activities in the arts, chemistry, and IT should be left to specialists. I think this is a better way to develop children's interests and individuality. Times are changing.",6,1
"I agree. The load on middle school teachers is too high when they take on club activities. Not only do they have to participate late on weekdays, but also on holidays, and furthermore, it is difficult to take paid leave outside of the holiday period. School teachers are a very important profession that influences children's personality development and future way of thinking, in other words, influences the future strength of the nation. Currently, I think it is difficult to say that excellent people, including in terms of income, are aiming to become school teachers. I hope that not only the club activities but also the overall treatment and employment conditions will be improved so that teachers will be respected in society. On a different note, I believe that various improvements could be made quickly if people who have worked in the private sector until their 40s or so could be hired as teachers or on school boards as a second career.",10,4
"I agree with the regional transition. The issue of ""financial burden on parents"" has been raised as an issue, but I think the issue of cost burden should be separated from this issue since this is a measure to reduce the workload of teachers in the first place. However, I think that the issue of cost burden should be separated from the issue of the burden on teachers, since this measure is part of the measures to reduce the burden on teachers in the first place. On the other hand, there are also many teachers for whom ""being involved in club activities"" is one of the reasons to continue teaching. Therefore, in the regional transition, I think it would be a good idea to allow teachers to work as ""regional activity leaders"" on the side, and to give priority to such people in the selection of regional leaders.",1,1
"We have small children and my husband is a middle school teacher. The school where my husband works has a dismissal time of 4:40 p.m., but club activities end at 6:30 p.m. He comes home after 7:00 p.m. no matter how hard he tries. No matter how hard he tries, he comes home after 7:00 p.m., which leaves him with only an hour or so to spend with the little ones. (We leave the house early in the morning, after 7:00 a.m.) On weekends, my husband has very little time to interact with the children because one of them is involved in club activities. When he has an occasional day off, my children would ask, ""Why is daddy off today? I have become almost a one-parent operation. I am almost a one-operator myself, and it is hard for me to rest. In the midst of all this, I cried in frustration when I heard about a student who said that club activities were a pain in the ass. I honestly wonder why our dad has to devote his precious time to such a child. Teachers also have families. Basically, I want them to work during working hours. I would like to see club activities separated from teaching.",7,1
"When I was in junior high school, the world was asking if we could work 24 hours a day. Compared to salaried workers, junior high school teachers could wear shabby clothes, work less overtime, and have full summer vacation, so I decided to become a teacher in the future! I decided to become a teacher in the future! I entered the education department, but gave up when I heard that only one out of tens of thousands of teachers would be hired because of the ""super ice age. Now there is a shortage of teachers, and at my son's school, the vice principal is being sent out to teach classes. I am so mad at the teachers at the school who work late, and there are so many families who need developmental support, and they are so detailed to each of them. They are really accommodating even though they have families and children of their own. The club activities should be shifted to the community to reduce the duties and responsibilities as much as possible.",14,1
"Although my high school was a public school, it had a club that was so active that it was chosen to represent the prefecture every year. The club had more than 100 members in the third grade, and many students came to the school because they wanted to play in the club. However, upon my graduation, the club's advisor moved to a new location. Although we secured an outside instructor once or twice a month, the club declined. We no longer represented the prefecture. On the other hand, after a few years, the school where the teacher was transferred was selected to represent the prefecture.... Was it really a good idea to choose a school for the sake of club activities, and was that the right career path for these children? Because of this kind of experience, why don't we just move the parts of the school that have nothing to do with academics to the community? I think it is a good idea.",71,5
"If it is a club activity, I think it should be carried out as far as possible as a school activity. To take this to an extreme, I think it would be difficult to continue unless the advisors are paid for overtime until school lets out completely after classes end on weekdays, with no weekends. If this is the case, it will naturally become difficult to win competitions, and some parents and students will complain. This is exactly the point that makes club activities difficult: are they doing it to win competitions, or are they doing it as a non-athletic activity and having competitions as a place to show the results? Personally, I think it would be better to do away with club activities, and if students want to play sports other than physical education, they should start their own clubs in the community and separate their activities from the school. In this way, there would be no room for dissatisfaction, since the activities would be carried out by those who want to do them without being forced to do so. I think that because it is done as a school activity, there will be people who have different ideas, and that will lead to dissatisfaction. I think it is time to rethink how conventions should be organized.",4,1
"Compared to when I was a child, I believe that many things in today's world take more time and effort.　These are partly due to the fact that we live in an age where individual rights and claims are protected, and therefore we have to understand that there is an increased burden on the main part of my job as a teacher.　I was blessed to have good teachers and club advisors, and it was a very good experience for me to be able to conduct club activities, but now that I have entered society, I think that what we do with good intentions cannot be forced upon us.　At the very least, I think that teachers and other workers should promote the division of labor if they can ask experts in their fields to help them with the work they do.　If the division of labor allows teachers to spend more time on their main job as teachers, they can spend more time with their students and work on problems such as bullying.",11,5
"I was an outside coach for a soccer team at a public junior high school for about 15 years. What I think is important is the cooperation with the school. I think it is important for the principal to have a clear idea of what he or she wants to do and to work well with the club advisor. If the school receives correct information about club activities and individual children's information closely, it can be dealt with onsite and lead to smooth operations for both parents and students.",5,4
"I am sorry to say this to the teachers, but if someone from the community takes on the responsibility of coaching a club activity and a student collapses and dies of heat stroke during the coaching, I imagine the community support staff would be held responsible in some way. Not many people are willing to take on that kind of potential liability for free or for a modest gratuity. Unless the faculty committee solicits applications with specific conditions, such as wages for instructors, management responsibility system in case of accidents, etc., it is very difficult for us to accept volunteers. That should be easy to imagine for teachers who are currently struggling. What I can't imagine are the people on the school board who are working at their desks. I understand the philosophy of regional transition, but I think it will be extremely difficult to find an undertaker in Japan today.",7,2
"I have been a club activities instructor for three years. The number of days I can work in a year is predetermined. I have to work 4-5 days a week, and if I go to tournaments on weekends, I soon reach that number of days. However, if I don't go, the club activity cannot be held. This is because there is no teacher to watch the club activities. Last year, I was almost a volunteer from November to March. The students were enjoying the club activities and trying their best, so I took on the job for a third year because I like those students and wanted to help them. To be honest, this is not a job I could continue...",53,7
"In our area, where there are no strong sports in the countryside, many people say that if they have to be picked up and dropped off, or if they have to pay additional costs such as facility fees in addition to club fees and equipment fees, then depending on the enthusiasm of the child, they may have to go home. Even in the countryside, there are many nuclear families with both parents working, so it is difficult to pick up and drop off children after classes, and even if they can get there by bicycle in the summer, it is impossible to do it by themselves in winter depending on the location because of the snowfall in the area. In the end, I think it is only possible for those who can afford the money and time. That said, I think it is necessary to reduce the burden on teachers, so I think it would be a good idea to eliminate club activities, the junior high school organization, and if possible, the high school athletic federation. It is reckless to think that students should be given equal opportunities to play sports.",60,6
"In junior high school, there was nothing I wanted to do, so I joined the soccer club ""just for the heck of it. There were a lot of people who joined the club because of the Captain Tsubasa boom, and the treatment of inexperienced players at the elementary school was very rough. Also, the advisor's teaching style was ""throwaway upbringing"" itself. I was a child, so I tended to skip soccer because I was caught up in my surroundings. But if you skip a game, you are punished by running 10 laps or something. Thanks to this, I hated soccer for a long time. In high school, I was able to resume kendo, a sport I had always wanted to do, and I can say that it was a glorious memory of my youth, both strict and fun. I can say that it is a glorious memory of my youth. I was able to know both sides in my life.",32,20
"I am a club activity instructor for an athletic club. The conditions required for a club activity instructor based on my actual experience are: 1) someone who has expertise and experience in athletics and is physically fit, 2) someone who can adjust to the convenience of the school (from 4:00 pm after school to 9:00 pm during summer vacation, and club activities during test periods and school events), 3) someone who can handle being held for several days during expeditions and camps, 4) someone who is okay with unstable employment and average monthly compensation of 60,000-70,000 yen without transportation costs, and 5) someone who can take responsibility for the safety of the children and the instruction even under the above conditions. (5) who can take responsibility for the children's safety and guidance even under the above conditions. The only people who would fit the above criteria would be those who are studying to become teachers or are retired. I myself cannot continue for much longer. Also, the burden would be much heavier if I were to take on administration in addition to teaching. My personal opinion is that it would be ideal if we could have a full-time professional instructor in the form of a clerical or janitorial staff who would be in charge of coaching and managing club activities for several schools.",10,1
"How is it feasible that the law of conservation of mass would change the bearers from teachers, who had accepted to work for free, to the general public, who are not teachers, while the amount of work remains the same and the cost of labor remains the same? It is impossible according to the laws of physics. In terms of reducing the workload, the first prerequisite is that there will be no administrative responsibility for injuries or problems. In terms of labor costs, the only way to achieve this is to have the parents who participate in club activities pay the labor costs of the instructors, on a beneficiary-pays-all basis. Only after these conditions are met will the possibility become apparent.",57,9
"There is talk of moving club activities and leaders from the school to the community, but this will not go well if the position of club activities is left as it is. If club activities are to be moved to organizations outside of schools, they should no longer be positioned as a part of school education, but rather as activities of local sports organizations or organizations set up and operated by parents. If we proceed with a half-hearted approach, we will always be dependent on teachers. The most important thing is to shift the sense of ownership of organization and management from schools to community organizations, parents, and those who wish to participate. To this end, it is necessary to secure a budget, and it is also necessary to develop a system related to the establishment, such as sports injury insurance and rules and regulations related to organizational management. In the midst of such a transition, it is also necessary to revise the law so that if a teacher accepts the role of instructor, he or she can be paid and serve concurrently. Some pupils would use private sports facilities and their parents would bear the costs, while others would be active in community organizations, financed partly by the local budget and partly by their parents.",13,1
"What should be the position of club activities in schools? If the purpose of the activity is for physical and mental development, it should be an after-school activity, but if the purpose is to improve athletic skills and develop excellent athletes, I think it should be a community activity. However, if it is a school club activity, the burden on the teacher is still too great. I would like teachers to concentrate on teaching academics, which is the original purpose of school. If the school teachers want to teach athletics as well, they should participate in community activities. Club activities where amateur teachers show up are unfortunate for both the teacher who has nothing to gain and the students who do not receive proper instruction. (Because that's what happened to my high school club.)",2,1
"More than ten years ago, when I was in junior high school, I was a member of an athletic club. I wondered what kind of club activities were held in countries where the sport was popular, and when I looked into it myself, I was surprised to find that in those countries, club activities were not held at school, but rather, students went to local sports youth organizations after school to practice on their own. However, I have recently come to think that Japan was a rather unique case. Looking back, the 80's was an era of school violence, and I suspect that club activities also played a role in leading the students. If that is the case, I think it would be natural for club activities to change in accordance with the changing times.",33,3
"While some students and teachers find club activities rewarding and enthusiastic, others suffer from exhaustion. Club activities have continued to grow while facing serious problems such as lack of personnel and budgeting. The ""student population decline"" and ""teacher work style reform"" should, of course, be the subject of various opinions from a variety of perspectives. 　Do you, the readers of this newsletter, approve of club activities that are based on the sacrifice and forced labor of teachers? Long hours and overcrowded work of teachers are now a social problem. As a result, there is a serious shortage of teachers throughout Japan. Especially in middle and high schools, club activities are a major factor. It is too late to steer the course toward a regional transition. Although there are many issues to be addressed, I hope that the transition will be made as soon as possible. I think that the option of ""taking on the responsibility at school because the transition is not possible"" is now extremely difficult. Even in the current situation, the number of club activities and activity hours will have to be reduced. Our association believes that at the very least, ""teachers who do not wish to be involved should not be forced to become club activity advisors.",21,1
"I think it should be up to the children who belong to the club, their parents, the school, and the club facility in charge of the club to decide what the local community should do. However, if an accident occurs at the club activity, who will be responsible? I don't know. If it is a school club activity, the school or the board of education will take the initiative and take measures to investigate the cause of the accident. I feel that they would rather just stop using that place and let the problem itself end. You may think that it is not a good idea to start the conversation from the beginning with an accident, but shouldn't we make a proper agreement on that as well?",21,9
"If it is a club activity at school by school faculty, then a full-time club activity teacher should be hired. If that is not possible, then I think it should be abolished. Up until elementary school, students paid to learn what they wanted to do outside of school, so why is it that once they enter junior high school, they are told that it is natural for teachers to do it, and why do people say that children from poor families cannot do sports if there are no club activities in junior high school? People have lost their senses because it is taken for granted that they pay money up to elementary school and receive free of charge once they enter junior high school. Furthermore, in some club activities, verbal abuse by advisors is allowed to some extent, and there is also a lot of bullying by upperclassmen, but when it comes to club activities, they do not make an issue of it unless the student commits suicide. In many cases, things that would get you fired if done in class are tolerated. Club activities are abnormal and should be immediately transferred to the local area or abolished. I am a former teacher and current husband teacher club activity advisor.",70,6
"One of my children was a member of a school club (brass band) and the other was a member of a local club team (soccer). In the past, the policy was that all children had to belong to some club, but now it is only those who wish to do so, and the club team is preparing to be one of the recipients as it moves to the community. However, while the school board is enthusiastic about ""letting go"" of the school, there seems to be little interest in ""handing it over"" in our city, and there is a big difference in support from the neighboring cities. We are not asking for more benefits, but are trying to work together to fix the transition issue, but it seems that there is little cooperation in connecting with organizations other than the newly established recipient organizations of teacher alumni. What I feel is the problem of ""schools are cooperating with the transition in this matter, but there is an overwhelming lack of school board involvement"" and ""people who are teacher alumni and do not want to give up their club activities do not want to connect with non-faculty"".",8,2
"Club activities include not only sports and other technical instruction for both cultural and athletic clubs, but also a variety of other duties, administrative work, and management related to club activities. These include: preparation of practice plans; preparation and implementation of safety measures (measures against injuries); preparation of rosters for participation in tournaments, etc., applications, planning of escorts and accommodation; securing and coordinating locations for practice outside the school (in some cases, payment of money); purchase, management and repair of various club-related items; confirmation and communication of absentees; first aid for injuries in some cases; and coordination with the advisor of the opposing school in the case of practice matches (meetings). In the case of practice matches (meetings), liaison and coordination with the advisor of the opposing school. Many advisors are also responsible for organizing, preparing, and running tournaments, as well as refereeing (judging) and cleaning up. They learn the names of all members, coordinate relationships, listen to the concerns of club members, determine and communicate regular and irregular members, provide guidance to the head of the club, follow up with the head of the club, and deal with parents. A club advisor requires considerable time, effort, ability, and coordination. It is not only technical instruction in sports and other activities. And it is not enough to say, ""Sensei, please"" when you are in trouble.",121,6
"I am a former public high school teacher.　I believe that ""club activities to win"" have been promoted by the existence of ""official competitions"" of the junior high and high school athletic federations, such as chapter tournaments and then national tournaments, based on the premise of school-based teams.　Under such circumstances, advisors are expected to be ""competent athletic leaders"" (even if implicitly), and I believe that many non-specialized advisory teachers have felt mentally distressed.　Also, private schools and even some public schools are currently recruiting students under the slogan of being a ""strong school. （Personally, I think that after-school sports and cultural activities should be ""loose activities"" like the ""compulsory clubs"" that used to be held in the past, and that students who want to specialize should join sports clubs outside of school and aim to compete in tournaments. Students who want to specialize should join sports clubs outside of school and aim to participate in tournaments.　I think this is a good opportunity to rethink the current ""school club activities"" from scratch.",10,1
"I am a former teacher. I write this at the risk of criticism. I think there are few students who don't want to be teachers because they don't like club activities. Of course, there are teachers who are not good at sports, but there are also a surprisingly large number of teachers who say ""club activities are my life. When I was an advisor for a baseball team, one of the teachers I worked with was a former Koshien baseball player. However, he told me that he could not become a professional baseball player and that he became a teacher because he wanted to continue to be involved in baseball. Not all teachers in the world are like that, but club activities are a part of student guidance. It has great educational significance. Without club activities, schools would be no different from cram schools. Students who talk about working hours and club activities should just aim to become tutoring teachers from the beginning. In other words, we are proud to be a public education teacher. I would like to write more, but due to a word limit, I will stop here.",2,2
"If it is not consistent with education, it should be detached. Naturally, it should not be reflected on the internal report. If it is consistent with education, it should be handled appropriately by the faculty. However, not only club activities but also subjects called secondary subjects may be difficult to evaluate. For example, there are people who cannot read music but have a talent for music, and people who cannot appreciate art during their lifetime but can appreciate it after their death.",23,12
"The ideal workplace is set forth in the Labor Standards Law and the Act on Special Measures Concerning Pay and Salary. Schools are also workplaces for teachers. Therefore, it is not worth considering the merits of activities that extend beyond working hours. It is no more than saying, ""We can't maintain club activities because we can't legally operate them without any problems. The children, enthusiasm, and so on are not reasons to transcend the Labor Standards Law.",68,2
"I am in my 60s, but when I was in junior high school, I was in the ""Kyudo Club"" and at that time we had classes on Saturdays, so there were activities that afternoon. All instruction was given by one senior, and the teacher rarely instructed or showed up, including on weekdays. The teacher would come by once a week on his way home, say hello, and that was the usual pattern. I don't know how it was in other clubs, but from my child's point of view at the time, I think the teacher's workload was not so heavy. A second teacher was added in the middle of the year, but he would only lead the team during city tournaments, etc., and would not show up to teach. I only know what it looks like on the surface, but I think that is fine. It is a lot of work for the teachers because they have to stay with the students and provide guidance. If we are going to have activities, including weekends, can't we do it with just the students? Even the competitions are dangerous in a sense because it is Kyudo, but they were such a challenge.",1,1
